채용공고명,포지션 상세,주요 업무,자격 요건,우대사항,혜택 및 복지,채용 전형,태그,마감일,면접리뷰,회사위치,회사명
HRBP(대리급),"이지스엔터프라이즈는 혁신적인 기술과 창의적인 솔루션을 통해 고객에게 최고의 가치를 제공하는 글로벌 기업이에요.
1. 고객 중심의 서비스: 고객의 요구를 최우선으로 하여 맞춤형 솔루션을 제공해요.
2. 지속 가능한 성장: 환경과 사회적 책임을 고려한 지속 가능한 경영을 추구해요.
3. 혁신과 창의성: 끊임없는 연구개발로 새로운 기술과 서비스를 창출해요.
HRBP(대리급) 직무는 인사 전략을 수립하고 실행하는 역할을 맡고 있어요. 인사 정책을 통해 조직의 성과를 극대화하고, 직원들이 최상의 환경에서 일할 수 있도록 지원하는 중요한 역할을 해요. 이지스엔터프라이즈와 함께 성장하며 인사 분야의 전문가로서 커리어를 쌓고 싶다면 지금 지원해보세요!","• 인사운영 업무
    - 비즈니스파트너로써 관계사의 인사 제도를 운영하고, 지속적인 개선사항을 고민합니다.
    - 조직관리, 근태관리 등 노무 지식을 기반으로 한 인사 시스템 관리/운영하고 개선합니다.
• 채용 업무 
    - IT 포지션을 비롯한 다양한 직무의 채용 계획 수립/홍보, 채용 프로세스 개선/운영, 채용 파이프 라인 구축
• 조직 문화 
    - 이지스엔터프라이즈와 align한 성과 중심의 조직문화로 관계사의 제도 개선 및 운영 (교육/노사협의 운영 등)","• 인사운영 업무
    - 비즈니스파트너로써 관계사의 인사 제도를 운영하고, 지속적인 개선사항을 고민합니다.
    - 조직관리, 근태관리 등 노무 지식을 기반으로 한 인사 시스템 관리/운영하고 개선합니다.
• 채용 업무 
    - IT 포지션을 비롯한 다양한 직무의 채용 계획 수립/홍보, 채용 프로세스 개선/운영, 채용 파이프 라인 구축
• 조직 문화 
    - 이지스엔터프라이즈와 align한 성과 중심의 조직문화로 관계사의 제도 개선 및 운영 (교육/노사협의 운영 등)",,,,"의료비지원, 건강검진지원, 사내동호회, 커피·스낵바, 자기계발지원, 식대지원, 51~300명, 어린이돌봄, 연봉상위6~10%, 인원 급성장, 설립10년이상",2024.10.28,,서울 금천구,이지스엔터프라이즈
[힌스] 코스메틱 HR리더,"LG생활건강의 색조 코스메틱 브랜드 힌스(hince)를 운영하고 있는 비바웨이브 입니다. :)

비바웨이브는 밀도 있고 풍부한 컬러를 통해 개개인의 고유한 분위기를 쌓아 올려 잠재 되어 있는 본연의 아름다움을 발현시키는 Mood Narrative 메이크업 브랜드 힌스(hince)를 운영하고 있습니다.

""우리가 상상하는 고유한 아름다움과 실용적인 제품을 세상에 선물한다"" 라는 비전을 바탕으로, 소비자들에게 행복감을 주는 글로벌 브랜드를 만드는 것이 비바웨이브의 목표입니다.","• 핵심 가치 내재화 및 우수 인재 양성 기획
우수 인재 양성 기획 및 교육 프로그램 개발
사내 핵심 가치 내재화

• 인사제도 및 프로세스 기획 관리
중장기 인사 전략 수립 평가제도 고도화
조직관리, 주요 이슈사항 관리 및 경영진 보고 등
HR Data 관리(인사통계 및 지표 등)

• 급여 및 보상체계 관리
payroll(월 정기급여 및 4대보험 등 수반업무) *외주사 사용중
직원 동기부여 및 재무상황을 고려한 보상제도 기획 운영

• 채용 및 인력 관리
채용 프로세스 설계 및 우수 인재 채용","• 핵심 가치 내재화 및 우수 인재 양성 기획
우수 인재 양성 기획 및 교육 프로그램 개발
사내 핵심 가치 내재화

• 인사제도 및 프로세스 기획 관리
중장기 인사 전략 수립 평가제도 고도화
조직관리, 주요 이슈사항 관리 및 경영진 보고 등
HR Data 관리(인사통계 및 지표 등)

• 급여 및 보상체계 관리
payroll(월 정기급여 및 4대보험 등 수반업무) *외주사 사용중
직원 동기부여 및 재무상황을 고려한 보상제도 기획 운영

• 채용 및 인력 관리
채용 프로세스 설계 및 우수 인재 채용",,,,"건강검진지원, 휴가비, 편의시설, 자기계발지원, 커피·스낵바, 식대지원, 51~300명, 설립4~9년, 인원 급성장, 누적투자100억이상",상시채용,"신속 간결한 스타일, 상세한 피드백, 친절/따뜻한 스타일, 캐주얼/편한 분위기",서울 마포구,비바웨이브(hince)
HR 매니저 (체인플랫폼본부),"[누구나 쉽게 나만의 스타일을 판매하고 구매하는, NEXT COMMERCE를 만듭니다.]

에이블리는 업계에서 가장 빠르게 성장한 스타일 커머스 플랫폼이에요. AI 개인화 추천 서비스를 통해 누구나 쉽게 내 취향에 딱 맞는 스타일을 구매하고, 누구나 쉽게 창업해 나만의 스타일을 판매할 수 있는 넥스트 커머스 생태계를 만들고 있어요.

그 중심에서 우리와 함께 원팀으로 성장하고, 나아가실 분들을 찾고 있습니다. 앞으로 더 높게 성장할 에이블리와 함께해주세요 !

[합류하게 될 팀을 소개해요.]
• 에이블리 체인플랫폼본부는 셀러들의 가장 큰 Pain Point인 고객 커뮤니케이션과 물류에 대한 부담을 해소할 수 있도록 하여, 수많은 셀러들이 에이블리 생태계 내에서 더 쉽게 창업 할 수 있게 지원 하고, 에이블리의 사업을 계속 확장해 나가기 위해 노력하는 곳이에요.
• 체인플랫폼본부만의 피플 조직인 인게이지먼트팀은 구성원들이 원팀으로 그릿하고 임팩트 있게 일할 수 있는 에이블리 팀 문화를 수호하고 강화하며, 풀필먼트 센터 관리 및 근무에 몰입할 수 있도록 근무 환경을 최적화합니다.
• HR 파트는 체인플랫폼본부의 문화를 수호하고 강화하며, 채용 지원, 인사 관리 등 체인플랫폼본부의 종합적인 HR 업무를 담당합니다.","• 에이블리 체인플랫폼본부 내 HR제도를 기획하고 지원해요.
• 에이블리 체인플랫폼본부의 문화를 수호하고 강화하는 업무를 담당하게 돼요.
• 구성원의 성장과 업무 몰입을 위한 프로그램에 대해 같이 기획하고 추진해요.
• 채용 지원 및 온보딩을 포함한 신규 구성원의 안정적인 적응을 지원해요.","• 에이블리 체인플랫폼본부 내 HR제도를 기획하고 지원해요.
• 에이블리 체인플랫폼본부의 문화를 수호하고 강화하는 업무를 담당하게 돼요.
• 구성원의 성장과 업무 몰입을 위한 프로그램에 대해 같이 기획하고 추진해요.
• 채용 지원 및 온보딩을 포함한 신규 구성원의 안정적인 적응을 지원해요.",,,,"커피·스낵바, 보너스, 건강검진지원, 육아휴직, 식대지원, 리프레시휴가, 연봉상위11~20%, 설립4~9년, 아시아·태평양 고성장, 스톡옵션, 인원성장, 301~1,000명, AI 선도 기업, 워크샵, 누적투자100억이상, 유연근무",상시채용,"신속 간결한 스타일, 과정 중심 질문, 답변을 유도해 준 편, 캐주얼/편한 분위기",서울 성동구,에이블리코퍼레이션
[피플] 인사기획 Sr.매니저,"NEXT No.1 Brand Builder
더파운더즈는 '글로벌 No.1 브랜드 빌더'라는 목표를 가지고 스킨케어 브랜드 '아누아', 반려동물 용품 '프로젝트21', 더마 헤어케어 '프롬랩스'를 운영하며 50여 개국 이상의 고객들에게 사랑받고 있습니다. 특히 아누아는 빠르게 성장하는 K-뷰티 브랜드로서 확고한 입지를 확보했습니다.

아누아는 북미 아마존, 일본 @cosme, 한국의 주요 온라인 플랫폼에서 각 상품군 1위를 차지하며 글로벌 시장에서 그 입지를 공고히 하고 있습니다. 2017년 창립 이후 매년 평균 250% 이상의 성장률을 기록하며, 올해 2분기 매출은 전년 동기 대비 483% 증가하는 성과를 달성했습니다.

더파운더즈는 이러한 급성장에도 안정적인 재무 환경을 유지하며, 외부 투자자의 간섭 없이 자율적으로 사업을 운영하고 있습니다. 아마존 US 프라임데이 카테고리 1위, 일본 큐텐 화장수 부문 1위, 메가와리 매출 기준 누적 1위, 그리고 국내 올리브영 어워즈 3개 부문 수상 등, 아누아는 글로벌 시장에서 지속적으로 인정받고 있습니다.

또한, 더파운더즈는 창업가, 컨설팅펌, 벤처캐피탈 심사역, 글로벌 소비재 기업, 마케팅 대행사, 미디어 커머스 등 다양한 분야에서 경험을 쌓은 190여 명의 탑 탤런트와 함께하며 성장 중입니다. 글로벌 No.1 브랜드 빌더로 도약하기 위한 여정에 함께하세요!","[해당 포지션에는 이러한 성장 기회가 있습니다]
• 글로벌 단위로 빠르게 성장하는 조직에서 전략적 인사 관리의 다각적인 기획을 경험해 볼 수 있습니다.
• 더파운더즈가 중점을 두고 있는 인재밀도 향상의 중추적인 역할을 할 수 있습니다.
• 성과관리 및 보상, 조직문화, 노무, HRD 다양한 영역의 업무 설계 및 개선의 경험이 주어집니다.

[하실 역할은 다음과 같습니다]
• 인사 제도 수립 및 규정/프로세스 제/개정
• 성과 관리 및 보상 체계 개편
• 조직문화 및 리더십 프로그램 기획 등","[해당 포지션에는 이러한 성장 기회가 있습니다]
• 글로벌 단위로 빠르게 성장하는 조직에서 전략적 인사 관리의 다각적인 기획을 경험해 볼 수 있습니다.
• 더파운더즈가 중점을 두고 있는 인재밀도 향상의 중추적인 역할을 할 수 있습니다.
• 성과관리 및 보상, 조직문화, 노무, HRD 다양한 영역의 업무 설계 및 개선의 경험이 주어집니다.

[하실 역할은 다음과 같습니다]
• 인사 제도 수립 및 규정/프로세스 제/개정
• 성과 관리 및 보상 체계 개편
• 조직문화 및 리더십 프로그램 기획 등",,,,"의료비지원, 건강검진지원, 커피·스낵바, 자기계발지원, 식대지원, 장비지원, 51~300명, 설립4~9년, 편의시설, 유망산업, 출산휴가, 육아휴직, 임직원할인, 인원성장, 인원 급성장, 유연근무",상시채용,"빠른 속도감, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 강남구,더파운더즈
본사 보상운영&HRBP,"글로우 서울은 온천집, 청수당, 소하염전, 우물집 등 세상에 없던 새로운 공간을 창조하는 기업입니다.


대표 브랜드인 ‘온천집'과 ‘청수당’을 필두로 한 ‘온천마을 브랜딩 및 디자인’ 프로젝트를 통해 익선동 한옥마을과 대전 소제동 프로젝트를 성공적으로 이끌고, 종로구 창신동과 용산 이태원 등 전국에서 로컬 매니지먼트 프로젝트를 전개하고 있습니다.

이뿐만 아니라 타임빌라스나, 롯데백화점, 스타필드 등 대형 쇼핑몰과 상업 공간을 기획하고 디자인하며 브랜드를 통해 오프라인 공간을 제안하는 다양한 프로젝트를 진행하고 있습니다.



단순한 F&B공간 운영을 넘어서 공간설계, 시공, 조경, 미술, 운영까지 모두 진행하는 독특한 DNA를 가진 기업으로 다방면의 젊은 인재들이 의기투합하고 있습니다.



앞으로는 오프라인 공간에 집중하고 있던 브랜딩 영역을 온라인 영역까지 확장하여 신규 브랜드 도출과 전략을 수립하고 이에 따른 정교한 브랜드 개발을 지향해 나아가고자 합니다. 이러한 과정에서 대중이 공감할 수 있는 진정성 있는 브랜드를 함께 만들어 나갈 인재를 모십니다.



글로우서울 경영진 인터뷰

유정수 CEO 인터뷰

• 영상:","• 본사 급여, 원천세, 4대보험, 연말정산, 일용직 정산 등 보상 업무
• F&B 담당 매장 채용 및 인사 관리 (HRBP)
• 노사협의회 운영 등 본사 노무 실무
• 법정의무교육","• 본사 급여, 원천세, 4대보험, 연말정산, 일용직 정산 등 보상 업무
• F&B 담당 매장 채용 및 인사 관리 (HRBP)
• 노사협의회 운영 등 본사 노무 실무
• 법정의무교육",,,,"보너스, 자유로운휴가, 식대지원, 51~300명, 설립4~9년, 누적투자100억이상, 연봉 업계평균이상, 인원 급성장",상시채용,"신속 간결한 스타일, 상세한 피드백, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 용산구,글로우서울(GlowSeoul)
[패스트캠퍼스] HR Business Partner,""" 산업과 교육 간 미스매치를 해소하는 Fastcampus CIC ""

직장인에게 요구되는 역량의 종류는 더욱 다양해지고 있고, 그 수준도 무시할 수 없이 높아지고 있습니다. Fastcampus는 현재 시장에서 요구되고 있는, 나아가 앞으로 요구될 것으로 보이는 직무역량을 빠르고 날카롭게 포착해 교육콘텐츠를 개발하고 제공합니다.

'프로그래밍', '마케팅', '데이터사이언스', '파이낸스', '크리에이티브'등 높은 부가가치를 내고있는 각 영역 최고의 실무자들과 함께 교육 콘텐츠를 만들어 나가고 있습니다. 현업에서 즉시 적용 가능한 프로젝트와 트렌드를 리딩하는 실사례 기반 콘텐츠는 온/오프라인 등 형식에 구애받지 않고 개발되고 있으며, 성장을 원하는 고객들에게 전에 없던 변화를 안겨주고 있습니다.



[Fastcampus HR 인재상]
• 지적 겸손함을 갖고, 끊임 없이 배우고 성장하기 위해 노력하는 인재
• 조직과 직원 사이의 관계에서 균형있게 사고하고 커뮤니케이션 하는 인재
• 높은 스스로의 윤리적 기준을 가지고 모든 업무에 적용할 수 있는 태도를 가진 인재","1. 채용
   1) 채용 전략 수립 및 채용 브랜딩
   2) 채용 채널 발굴을 통한 우수인재 확보
   3) 채용 프로세스 기획 및 운영
   4) 채용 이슈 파악 및 개선방안 수립


2. 온/ 오프보딩: 입퇴사 관련 프로그램 기획 및 운영
3. 평가/ 보상
   1) 수습평가 관리
   2) 성과관리 및 보상 제도 운영 지원

4. 조직문화: 조직문화 구축 활동 지원
5. 조직관리: 조직개편 및 부서 이동 운영 관리
6. 교육: 직원 역량 강화 프로그램 운영
7. 복리후생 운영 관리","1. 채용
   1) 채용 전략 수립 및 채용 브랜딩
   2) 채용 채널 발굴을 통한 우수인재 확보
   3) 채용 프로세스 기획 및 운영
   4) 채용 이슈 파악 및 개선방안 수립


2. 온/ 오프보딩: 입퇴사 관련 프로그램 기획 및 운영
3. 평가/ 보상
   1) 수습평가 관리
   2) 성과관리 및 보상 제도 운영 지원

4. 조직문화: 조직문화 구축 활동 지원
5. 조직관리: 조직개편 및 부서 이동 운영 관리
6. 교육: 직원 역량 강화 프로그램 운영
7. 복리후생 운영 관리",,,,"건강검진지원, 편의시설, 자기계발지원, 커피·스낵바, 사내동호회, 자유로운휴가, 유망산업, 연봉상위11~20%, 301~1,000명, 설립4~9년, 인원 급성장, 워크샵, 누적투자100억이상, 유연근무",2024.10.22,"신속 간결한 스타일, 과정 중심 질문, 답변을 유도해 준 편, 캐주얼/편한 분위기",서울 강남구,데이원컴퍼니
경영지원팀 / 총무,"""DiiVE DEEP TOGETHER!""

DiiVER는 “굿즈로 하는 브랜딩 솔루션”을 제공한다는 가치 아래 모든 클라이언트들이 쉽고 편하게 자신 브랜드들의 팬을 만들 수 있도록 돕고 있습니다.
이를 위해 소수의 전유물이었던 오프라인(영업) 중심의 굿즈 산업을
온라인으로 옮겨오려 노력하고 있습니다.
DiiVER가 도전하고 있는 굿즈 산업은 총 규모 22조원 이상의 이상이며, 라이프 스타일, 테크,
오피스, 어페럴 등이 속한 거대한 시장입니다.
DiiVER는 이와 같은 거대한 시장 속 단순한 굿즈 제작사가 아닌 고객 브랜드에게 솔루션을
제공함으로써, 프로젝트가 시작하는 순간부터 마무리까지 원스톱으로 해결하는 “브랜딩 솔루션”을 향해 나아가고 있습니다.


""굿즈로 하는 브랜딩, DiiVER""
사람들에게 브랜드의 이야기를 어떻게 전할지 함께 고민하고 제안하는 기획의 영역부터
실제로 보고 만져볼 수 있는 형태의 결과물을 만드는 제조의 영역에 이르기까지
우리 브랜드를 알리고, 응원하는 팬을 만드는데 필요한 모든 과정과 함께 합니다.
이를 위해 굿즈를 통한 브랜딩/기획/디자인/제작/풀필먼트/유통 대행 서비스를 제공합니다.



[팀 소개]
DiiVER MD팀은 DiiVER 스토어를 No.1 굿즈 커머스 플랫폼으로 성장 시킵니다.

DiiVER는 ‘뛰어들다’라는 뜻의 ‘Dive’와
스쿠버다이빙의 'Buddy System'에서 영감을 받았습니다.

스쿠버다이빙 시, 2인 1조로 짝을 지어 다이빙을 하는 것을 버디시스템이라고 합니다.
여기서 버디는 스쿠버다이빙을 준비하는 시점부터 마무리하는 순간까지
서로의 안전을 책임지고 돕는 코치이자, 즐거움을 공유하는 파트너를 뜻합니다.

DiiVER와 함께 서로의 버디가 되어 몰입하는 삶의 즐거움을 공유할 당신을 기다립니다.

""DiiVE DEEP TOGETHER!""","• 사무실 업무 환경 관리 
  : 각종 비품 구매 및 관리
  : 사무실 건물 유지관리 

• 사내 업무지원
  : 계약서 관리
  : 기업지원프로그램 및 지원금 확인 및 신청
  : 임직원 복리후생 관리 
  : 법정의무교육 

• 기타 총무 관련 업무 지원 
  : 입퇴사자 계정 생성 및 PC 세팅
  : 기타 업무","• 사무실 업무 환경 관리 
  : 각종 비품 구매 및 관리
  : 사무실 건물 유지관리 

• 사내 업무지원
  : 계약서 관리
  : 기업지원프로그램 및 지원금 확인 및 신청
  : 임직원 복리후생 관리 
  : 법정의무교육 

• 기타 총무 관련 업무 지원 
  : 입퇴사자 계정 생성 및 PC 세팅
  : 기타 업무",,,,Excel,,,서울 서대문구,다이버(DiiVER)
HR / 채용 담당자,"테일크루는 이런 팀이에요!

테일크루는 작가 스스로 사랑하는 이야기가 독자의 사랑을 받을 수 있다고 생각하는 팀입니다.
작가 고유의 영역과 취향을 존중하며, 자신의 세계에 최대한 몰입할 수 있는 환경을 만들기 위해 노력하고 있습니다.
Super IP를 만들겠다는 강력한 의지와 뛰어난 역량을 가진 동료들과 함께하고 있으며, 더 많은 작가님들과 시장에 다채로움을 불어넣고 싶어 24년 6월부터 웹소설 플랫폼 ＜모픽＞을 운영하고 있습니다.

바로 지원하는 것이 부담되신다면, 커피챗을 신청하세요!
테일크루에 대해 자세히 말씀드릴게요. 지원자 분과 어떤 시너지를 낼 수 있는지 함께 찾아봐요.","-테일크루 사업 계획 전반의 포지션 구상, 채용 전략 수립
-채용 브랜딩 기획 및 운영 
-브랜딩 강화를 위한 콘텐츠 제작 및 채용 행사 운영 담당
-채용 플랫폼 관리 및 기획 업무 
-인재 발굴 및 컨택, 네트워크 관리  

테일크루에서는 모든 결정을 할 수 있습니다. 
몰입할 수 있는 환경과 뛰어난 역량의 동료들이 함께합니다.","-테일크루 사업 계획 전반의 포지션 구상, 채용 전략 수립
-채용 브랜딩 기획 및 운영 
-브랜딩 강화를 위한 콘텐츠 제작 및 채용 행사 운영 담당
-채용 플랫폼 관리 및 기획 업무 
-인재 발굴 및 컨택, 네트워크 관리  

테일크루에서는 모든 결정을 할 수 있습니다. 
몰입할 수 있는 환경과 뛰어난 역량의 동료들이 함께합니다.",,,,"커피·스낵바, 보너스, 50명이하, 설립4~9년, 인원 급성장, 경기도 우수 중소기업",상시채용,,경기 성남시,테일크루(Talecrew)
인사총무(영업지원) 담당자,"[온라인에서 신차를 가장 잘 파는 스타트업]
겟차는 2015년 설립 이후 차량 구매자가 겪는 불편한 차량 탐색과 불투명한 할인 금액, 수많은 금융 상품 비교에 대한 어려움 해결하고 적합한 차량을 가장 유리한 방식으로 구매할 수 있게 한 결과, '신차 구매 서비스 업계 1위 기업'으로 성장했습니다. 유가상승, 경기 침체 등의 이슈에도 매년 매출이 지속적으로 성장하였으며 지난달 월 BEP를 달성하였습니다.

[SK에너지, 카카오벤처스 등 누적 133억원의 투자 유치]
코로나 19 위기에도 비대면 서비스로 호응을 얻으며 지속적으로 성장하여 SK에너지와 한국투자파트너스, 카카오벤처스, 컴퍼니케이, TBT파트너스, 센트랄에서 누적 133억 원의 투자를 유치하였습니다.

[자동차 종합 플랫폼으로서의 미래]
신차 구매 서비스로 시작한 겟차는 자동차 구매 전체의 문제를 해결하는 자동차 종합 플랫폼으로 발전하고 있습니다. 신차 구매에서 더 나아가 자동차 금융, 보험, 중고 거래 및 렌트, 구매 이후 차량 유지를 아우르고 자동차 경험 전체를 변화시킬 서비스로 성장하고 있습니다.

팀원 각자의 숨은 역량을 발휘해 고객에게 더 나은 카 라이프를 제시하는 겟차!
새로운 질주, 겟차와 함께하세요.","• 채용/온보딩/평가 프로세스 운영
• 지원 사업/기업부설연구소/병역특례 업체 관리
• 사무실 유무형 자산 구매 및 관리
• 인사 자료, 증명서 발급 등 각종 문서 관리
• 기타 인사총무(법정의무교육, 취업규칙관리, 복리후생 등) 전반 업무 일체
• 영업지원성 업무 서포트","• 채용/온보딩/평가 프로세스 운영
• 지원 사업/기업부설연구소/병역특례 업체 관리
• 사무실 유무형 자산 구매 및 관리
• 인사 자료, 증명서 발급 등 각종 문서 관리
• 기타 인사총무(법정의무교육, 취업규칙관리, 복리후생 등) 전반 업무 일체
• 영업지원성 업무 서포트",,,,"자유로운휴가, 건강검진지원, 연봉상위11~20%, 50명이하, 설립4~9년, 카카오벤처스, 누적투자100억이상",상시채용,"신속 간결한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 강남구,겟차
HR Manager,"* To Keep the World in Motion *

테크타카는 아마존과 쿠팡에서 다양한 개발 경험을 가진 양수영 대표가 2020년 5월 설립하여 수요예측부터 주문∙재고 배송 작업까지 통합한 ‘물류 자동화 플랫폼(풀필먼트)’ ARGO 서비스를 운영하고 있습니다. 2021년 1월에는 대표 서비스 ARGO를 정식 런칭함과 동시에 자체 물류센터를 운영하였고, 2022년부터 이커머스 전 과정을 통합하여 운영하고 있습니다.

테크타카는 Google, Amazon, UPS, Coupang 등 물류에 관한 실전 노하우가 많은 프로젝트 리드와 개발자들로 구성되어 있습니다. 우리의 팀원들은 축적된 물류 경험과 운영 노하우를 바탕으로 '네이버 D2SF, 카카오벤처스-신한캐피탈, 롯데벤처스, 뮤렉스파트너스, 미래에셋캐피탈, 미래에셋벤처투자, DSC인베스트먼트'로 부터 설립 15개월 만에 시리즈A 125억 원의 투자를 받았으며, 최근 '알토스벤처스'로부터 시리즈B 126억 원의 투자를 유치한 바 있습니다. ('24년 2월)

영역의 한계를 두지 않고 기존의 방식에 의문을 제기하며 새로운 시각으로 더 나은 문제해결 방법을 함께 찾아갈 당신을 기다리고 있습니다.

＜근무 형태＞
정규직 (수습기간 3개월, 급여 100%)","·    HR 전반에 대한 전략 방향성 수립 및 실행
·    인사관리 및 기획
·    채용 전략 및 프로세스 정립
·    성과 평가 및 보상제도 설계 및 운영
·    프로세스 개선 및 실행 지원
·    조직진단 및 조직문화 기획/운영
·    리더십 교육 프로그램 개발 및 실행
·    그 외 HR 전반 실무 수행","·    HR 전반에 대한 전략 방향성 수립 및 실행
·    인사관리 및 기획
·    채용 전략 및 프로세스 정립
·    성과 평가 및 보상제도 설계 및 운영
·    프로세스 개선 및 실행 지원
·    조직진단 및 조직문화 기획/운영
·    리더십 교육 프로그램 개발 및 실행
·    그 외 HR 전반 실무 수행",,,,"건강검진지원, 유급휴가, 휴가비, 복지포인트, 장비지원, 식대지원, 설립4~9년, 커피·스낵바, 보너스, 스톡옵션, 누적투자100억이상",상시채용,,서울 서초구,테크타카(ARGO)
채용담당자 (리크루터),"메가스터디교육은 늘 교육시장의 새로운 기준과 좌표를 만들며 업계를 선도해 왔습니다.

메가스터디교육 임직원으로써 업계 1위 회사에서 근무한다는 자긍심과 교육업계를 대표한다는 자부심을 가지고 함께할 분을 기다립니다.","• 채용 프로세스 Full cycle 운영
• 여러 조직과 소통하여 채용 전략 기획 및 수립
• 다양한 채용 채널을 활용하여 인재 Pool을 관리
• 채용 브랜딩을 통해 우수한 인재를 영입
• 채용파트와 관련된 전반적인 업무","• 채용 프로세스 Full cycle 운영
• 여러 조직과 소통하여 채용 전략 기획 및 수립
• 다양한 채용 채널을 활용하여 인재 Pool을 관리
• 채용 브랜딩을 통해 우수한 인재를 영입
• 채용파트와 관련된 전반적인 업무",,,,"자기계발지원, 의료비지원, 휴가비, 건강검진지원, 출산휴가, 육아휴직, 식대지원, 1,001~10,000명, 설립10년이상",2024.10.20,"신속 간결한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 서초구,메가스터디교육
HRBP,"누구나 가장 먼저 찾는 K-Culture 플레이스

연예 기획사, 영화/드라마 제작사 등 한국의 콘텐츠 사업자와 전 세계 팬들을 연결함으로써 즐겁고 행복한 경험이 가득한 세상을 만듭니다. 블랙핑크, 스트레이키즈, NCT, 여자아이들, 르세라핌 등 600팀의 케이팝 아티스트와 협업해 1,500개 이상의 프로젝트를 진행했습니다. 독점 포토카드, 영상통화 이벤트, 럭키드로우 이벤트 등 다양한 엔터 상품과 이벤트를 제공하고 있습니다.

전세계를 대상으로 운영되는 메이크스타 플랫폼을 통해 제작자 및 아티스트에게 콘텐츠 제작 환경의 혁신을, 전세계 팬들에게는 새로운 재미와 혜택을 제공합니다. 전세계 235개국에서 사용자가 방문하고 있으며, 2015년 서비스 런칭 이후 매년 빠르게 성장하고 있습니다. 메이크스타는 알토스벤처스로부터 투자를 유치하는 등 업계 내에서 가장 주목 받고 있는 엔터 스타트업입니다.

이렇게 합류해요
•서류 전형 ＞ 1차 역량 인터뷰 ＞ 2차 컬쳐 인터뷰 ＞ 최종 합격 ＞ 처우 협의 ＞ 입사
•서류 합격자에 한해 결과 안내 드리며, 면접 일정 관련해서 수시로 전화 드립니다.
•상황에 따라 과제 또는 추가 인터뷰, 평판 조회 전형이 추가될 수 있습니다.
•허위 사실이 발견될 경우, 채용 확정 이후라도 채용 취소될 수 있습니다.

지원하실 때 참고해주세요
•정규직 채용의 경우 급여 및 복지 차별 없는 3개월의 수습 기간이 있습니다.
•평가 결과에 따라 수습 기간이 연장되거나 채용이 취소될 수 있습니다.
•월요일부터 금요일까지 9시~11시에 자유롭게 출근하여 8시간 근무 후 퇴근합니다.
•근무지는 서울특별시 강남구 학동로23길 29입니다.","합류하시면 이렇게 일해요
메이크스타는 빠르게 변화하는 비즈니스 환경 속에서 조직의 성장을 지원하고 주도 할 수 있는 분을 찾고 있습니다. 메이크스타가 생각하는 HR은 단순한 기능적 역할에 국한되지 않고 조직의 문제를 전체적으로 파악하고, 전략적으로 해결해 나가는 핵심적인 역할을 하게 됩니다. 본 포지션은 HRM, HRD, 조직문화 등 전통적인 HR 기능에 머물지 않고, 비즈니스와 밀접하게 협력하며 조직 내 변화 관리와 문제 해결을 하게 됩니다.

• 변화 관리: 빠르게 변화하는 비즈니스 환경에 맞춰 조직 구조, 프로세스, 문화를 변화시키기 위한 전략 수립하고 실행합니다.
• 조직 문제 해결: 조직의 문제를 전체적인 관점에서 파악하고, 리더들과 협력하여 문제 해결 방안을 제시합니다.
• 리더십 및 인재 개발: 조직 내 리더십 강화 프로그램 개발 및 실행, 핵심 인재 육성을 위한 교육 및 코칭합니다.
• 성과 관리 및 피드백 문화 구축: 성과 관리 체계를 개선하고, 피드백 문화가 조직에 뿌리내리도록 지원 합니다.
• 채용: 우수한 인재를 영입하기 위한 인바운드/아웃바운드 채용 채널 관리 및 구축 합니다.","합류하시면 이렇게 일해요
메이크스타는 빠르게 변화하는 비즈니스 환경 속에서 조직의 성장을 지원하고 주도 할 수 있는 분을 찾고 있습니다. 메이크스타가 생각하는 HR은 단순한 기능적 역할에 국한되지 않고 조직의 문제를 전체적으로 파악하고, 전략적으로 해결해 나가는 핵심적인 역할을 하게 됩니다. 본 포지션은 HRM, HRD, 조직문화 등 전통적인 HR 기능에 머물지 않고, 비즈니스와 밀접하게 협력하며 조직 내 변화 관리와 문제 해결을 하게 됩니다.

• 변화 관리: 빠르게 변화하는 비즈니스 환경에 맞춰 조직 구조, 프로세스, 문화를 변화시키기 위한 전략 수립하고 실행합니다.
• 조직 문제 해결: 조직의 문제를 전체적인 관점에서 파악하고, 리더들과 협력하여 문제 해결 방안을 제시합니다.
• 리더십 및 인재 개발: 조직 내 리더십 강화 프로그램 개발 및 실행, 핵심 인재 육성을 위한 교육 및 코칭합니다.
• 성과 관리 및 피드백 문화 구축: 성과 관리 체계를 개선하고, 피드백 문화가 조직에 뿌리내리도록 지원 합니다.
• 채용: 우수한 인재를 영입하기 위한 인바운드/아웃바운드 채용 채널 관리 및 구축 합니다.",,,,"자유로운휴가, 커피·스낵바, 51~300명, 설립4~9년, 누적투자100억이상, AI 선도 기업, 인원 급성장",상시채용,"신속 간결한 스타일, 결과 중심 질문, 천천히 기다려준 편, 집중하기 좋은 환경",서울 강남구,메이크스타
