채용공고명,포지션 상세,주요 업무,자격 요건,우대사항,혜택 및 복지,채용 전형,태그,마감일,면접리뷰,회사위치,회사명
QA Engineer,"""Port-to-Port Leading AI Platform for Ship""
씨드로닉스는 AI·Robotics 기술을 통해 해양산업의 혁신을 이끌어 갑니다.

씨드로닉스의 미션은 혁신적 기술과 솔루션으로 세계 해양 물류와 해양 산업의 미래를 재정립하는 것입니다.
해양 환경의 수 많은 도전들을 해결하며, 선박의 자율운항, 운항 보조 시스템, 모니터링 시스템 등
해양 산업의 안전과 미래를 책임질 서비스를 제공하고 있습니다.

· Challenge & Growth
씨드로닉스가 쌓아온 AI·Robotics 분야의 Technical Know-How를 바탕으로
다양한 해양 프로젝트를 성공적으로 수행해왔으며, 세계 해양 산업을 선도하는 기업으로 성장했습니다.
우리는 미래 해양 산업을 이끌어가는 Front-Runner로서 끊임없는 도전과 성장을 추구하며 나아갑니다.

· Global Business
씨드로닉스는 글로벌 해양 산업의 Market Innovator로서
딥러닝·로보틱스·SW·HW 기술이 융합된 씨드로닉스만의 혁신적인 솔루션을 구축하였으며
이를 통해 자율운항 및 선박/항만관리 분야의 최전선에서 시장을 주도하고 있습니다.

· Engagement & Communication
씨드로닉스가 추구하는 핵심 가치는 `진정성 있는 몰입`과 `효과적인 커뮤니케이션`입니다.
핵심 가치에 공감하고 실천하는 우수한 구성원들과 함께 더 나은 미래를 그려나가고 있습니다.

보다 자세한 씨드로닉스의 기술 및 사업현황, 입사 혜택은 Seadronix 홈페이지 방문하시면 확인하실 수 있습니다!


[SEADRONIX QA Engineer]

씨드로닉스는 AI 항만 관리 모니터링 시스템(AVISS) 및 AI 운항 지원 모니터링 시스템(NAVISS)의
원활한 서비스 제공을 위해 높은 수준으로 서비스 품질을 개선하고 관리하실 QA 전문가를 찾습니다.
씨드로닉스의 제품/서비스는 인공지능, 센서융합, SW, HW 등 여러 분야의 기술이 융합되어 있는만큼
서비스 품질 관리에 있어 다양한 변수들을 고려한 체계적인 품질 관리가 요구됩니다.
넓고 유연한 사고를 바탕으로 함께 씨드로닉스의 서비스를 더 높은 단계로 발전시켜나갈 분을 모십니다.","• QA 표준 업무 프로세스 수립 및 운영
• 신규/기존 서비스 테스트 케이스 설계 및 관리
• 서비스 품질 이슈 추적/관리를 통한 서비스 품질 개선","• QA 표준 업무 프로세스 수립 및 운영
• 신규/기존 서비스 테스트 케이스 설계 및 관리
• 서비스 품질 이슈 추적/관리를 통한 서비스 품질 개선",,,,"Confluence, JIRA",,,서울 강남구,씨드로닉스
기구 설계,"""Port-to-Port Leading AI Platform for Ship""
씨드로닉스는 AI·Robotics 기술을 통해 해양산업의 혁신을 이끌어 갑니다.

씨드로닉스의 미션은 혁신적 기술과 솔루션으로 세계 해양 물류와 해양 산업의 미래를 재정립하는 것입니다.
해양 환경의 수 많은 도전들을 해결하며, 선박의 자율운항, 운항 보조 시스템, 모니터링 시스템 등
해양 산업의 안전과 미래를 책임질 서비스를 제공하고 있습니다.

· Challenge & Growth
씨드로닉스가 쌓아온 AI·Robotics 분야의 Technical Know-How를 바탕으로
다양한 해양 프로젝트를 성공적으로 수행해왔으며, 세계 해양 산업을 선도하는 기업으로 성장했습니다.
우리는 미래 해양 산업을 이끌어가는 Front-Runner로서 끊임없는 도전과 성장을 추구하며 나아갑니다.

· Global Business
씨드로닉스는 글로벌 해양 산업의 Market Innovator로서
딥러닝·로보틱스·SW·HW 기술이 융합된 씨드로닉스만의 혁신적인 솔루션을 구축하였으며
이를 통해 자율운항 및 선박/항만관리 분야의 최전선에서 시장을 주도하고 있습니다.

· Engagement & Communication
씨드로닉스가 추구하는 핵심 가치는 `진정성 있는 몰입`과 `효과적인 커뮤니케이션`입니다.
핵심 가치에 공감하고 실천하는 우수한 구성원들과 함께 더 나은 미래를 그려나가고 있습니다.

보다 자세한 씨드로닉스의 기술 및 사업현황, 입사 혜택은 Seadronix 홈페이지 방문하시면 확인하실 수 있습니다!","· 해양 특화 기구설계
  - 요구 기능에 맞는 센서 모듈 등의 제품 설계
  - 설치 환경 특성을 고려한 제품 설치 Jig 설계
  - 외주 제작 관리 및 시제품 테스트
· 현장 설치 지원
  - 제품 설치, 운용 메뉴얼 작성 및 현장 지원","· 해양 특화 기구설계
  - 요구 기능에 맞는 센서 모듈 등의 제품 설계
  - 설치 환경 특성을 고려한 제품 설치 Jig 설계
  - 외주 제작 관리 및 시제품 테스트
· 현장 설치 지원
  - 제품 설치, 운용 메뉴얼 작성 및 현장 지원",,,,"CAD, Solidworks",,,서울 강남구,씨드로닉스
전장 설계 및 관리 지원,"""Port-to-Port Leading AI Platform for Ship""
씨드로닉스는 AI·Robotics 기술을 통해 해양산업의 혁신을 이끌어 갑니다.

씨드로닉스의 미션은 혁신적 기술과 솔루션으로 세계 해양 물류와 해양 산업의 미래를 재정립하는 것입니다.
해양 환경의 수 많은 도전들을 해결하며, 선박의 자율운항, 운항 보조 시스템, 모니터링 시스템 등
해양 산업의 안전과 미래를 책임질 서비스를 제공하고 있습니다.

· Challenge & Growth
씨드로닉스가 쌓아온 AI·Robotics 분야의 Technical Know-How를 바탕으로
다양한 해양 프로젝트를 성공적으로 수행해왔으며, 세계 해양 산업을 선도하는 기업으로 성장했습니다.
우리는 미래 해양 산업을 이끌어가는 Front-Runner로서 끊임없는 도전과 성장을 추구하며 나아갑니다.

· Global Business
씨드로닉스는 글로벌 해양 산업의 Market Innovator로서
딥러닝·로보틱스·SW·HW 기술이 융합된 씨드로닉스만의 혁신적인 솔루션을 구축하였으며
이를 통해 자율운항 및 선박/항만관리 분야의 최전선에서 시장을 주도하고 있습니다.

· Engagement & Communication
씨드로닉스가 추구하는 핵심 가치는 `진정성 있는 몰입`과 `효과적인 커뮤니케이션`입니다.
핵심 가치에 공감하고 실천하는 우수한 구성원들과 함께 더 나은 미래를 그려나가고 있습니다.

보다 자세한 씨드로닉스의 기술 및 사업현황, 입사 혜택은 Seadronix 홈페이지 방문하시면 확인하실 수 있습니다!","• 해양 스마트 제품 항만 내 설치 총괄
• 항만 시설 운영 모니터링 및 정기 유지보수","• 해양 스마트 제품 항만 내 설치 총괄
• 항만 시설 운영 모니터링 및 정기 유지보수",,,,"유망산업, 건강검진지원, 휴가비, 식대지원, 50명이하, 설립4~9년, AI 선도 기업, 커피·스낵바, 연봉상위6~10%, 인원 급성장, 유연근무",2024.12.31,,서울 강남구,씨드로닉스
Functional Safety Manager,"회사소개

보스 반도체는 차량용 반도체 전문기업으로 자율주행 SOC, Mega MCU, Gateway SOC 등 반도체 및 소프트웨어를 포함하는 반도체 Total Solution을 개발하고 있습니다.

보스 반도체는 SoC 설계, 개발 및 생산까지 전체 프로세스를 경험한 업계 최고의 전문가 집단으로 이루어진 리더급 Manpower를 통해 창업 초기부터 국내 유수의 대기업으로 부터 투자를 받고 안정적으로 과제를 수행하고 있는 판교에 위치한 스타트업 회사입니다.

창업 2년이 되지 않은 현재 연구개발자 150명 이상, 베트남 연구개발 법인까지 보유한 빠르게 성장하며 Global Top 기술력을 보유한 회사들과 경쟁하며 의미 있는 성장을 목표로 하고 있는 회사 보스 반도체에서 함께 성장해 나가실 분을 모집하고자 합니다.

Safety팀
Safety Team은 BOS에서 개발하는 모든 차량용 반도체에 대해, 최고 수준의 안전과 신뢰성 보장을 목표로 합니다. ISO 26262 or ISO21448와 같은 국제 표준을 준수하며, 안전 컨셉 개발, 안전 기능 개발 및 안전 분석을 전문적으로 수행합니다. 엄격한 안전 설계 및 안전 분석을 통해 잠재적 위험을 완화하고 차량용 반도체의 안전한 동작을 보장하여, BOS 칩을 사용하는 모든 시스템을 보호하기 위해 노력하고 있습니다.","• 차량용 반도체 ISO 26262 기능안전 인증 대응
• 차량용 반도체 ISO 26262 개발 프로세스 구축 (개발 프로세스 정의 및 Toolchain 구축)
• 차량용 반도체 안전 분석 (FMEDA, FMEA, FTA, DFA) 수행
• 차량용 반도체 Safety Concept 개발 및 Safety Requirements 도출
• 차량용 반도체 Safety Manual 및 Safety Case 작성
• 차량용 반도체 고객 대응 (DIA, Safety Defense)","• 차량용 반도체 ISO 26262 기능안전 인증 대응
• 차량용 반도체 ISO 26262 개발 프로세스 구축 (개발 프로세스 정의 및 Toolchain 구축)
• 차량용 반도체 안전 분석 (FMEDA, FMEA, FTA, DFA) 수행
• 차량용 반도체 Safety Concept 개발 및 Safety Requirements 도출
• 차량용 반도체 Safety Manual 및 Safety Case 작성
• 차량용 반도체 고객 대응 (DIA, Safety Defense)",,,,"식대지원, 커피·스낵바, 건강검진지원, 51~300명, AI 선도 기업, 연봉상위6~10%, 설립3년이하, 인원 급성장, 경기도 우수 중소기업",2024.11.25,,경기 성남시,보스반도체
QA 엔지니어 (4년~8년),"■ 세계 보안을 지키는 글로벌 정보보안기업 이글루코퍼레이션

이글루코퍼레이션(대표 이득춘)은 글로벌 정보보안기업을 목표로 1999년 11월 설립되었습니다.
이글루코퍼레이션은 기업의 업무 환경, 업무 수행 방식의 혁신을 앞당기고 보안성을 강화할 수 있는 핵심 기술을 구현하는데 매진하며 국내SIEM(통합보안관제) 시장을 개척하고 이끌어왔습니다.

이글루코퍼레이션은 국내외 선도 기업과의 협력을 통해 미래 성장 동력 확보에도 총력을 기울일 계획입니다.
국내를 넘어 글로벌을 대표하는 정보보안 선도기업으로 도약을 꿈꾸는 당사의 비전과 목표를 함께할 훌륭한 인재를 찾습니다.",• 솔루션 검증 및 기술지원 대응,• 솔루션 검증 및 기술지원 대응,,,,Linux,,,서울 송파구,이글루코퍼레이션
이산화탄소 포집 기술(전기화학 분야) 연구 개발 (5년차 미만),"비욘드캡처는 전기화학 기술을 이용한 “탄소 포집 시스템”을 개발합니다. 저희는 이를 ""탄소 포집 배터리""라고 부릅니다.
“탄소 포집 배터리”, 생소하시죠? 배터리와 똑같은 프로세스로 이산화탄소를 포집하는 기술입니다.

저희 비욘드캡처는 탄소 포집 배터리 개발을 위한 Research Engineer를 모집하고 있습니다. 공학도로써 기술개발부터 스케일업까지 모두 관여하고 싶고, 스타트업의 자유로운 근무 환경 하에 마음껏 연구하고 싶은 분들, 모두 환영합니다!!","전기화학 분야의 R&D 업무를 수행합니다.
• 전기화학 평가 및 전극 제조
• 실험 기획 및 진행
• 프로토타입 개발을 위한 연구 스케일업
• 특허, 논문 작성","전기화학 분야의 R&D 업무를 수행합니다.
• 전기화학 평가 및 전극 제조
• 실험 기획 및 진행
• 프로토타입 개발을 위한 연구 스케일업
• 특허, 논문 작성",,,,"디캠프 선정 유망 스타트업, 50명이하, 사내동호회, 인원 급성장",상시채용,,경기 하남시,비욘드캡처
[연구소 로봇] HW Engineer - 회로 설계 (주임~대리급),"""전 세계를 놀라게 한 대한민국 의료기기 제조사""
""국내 순수기술을 가지고 세계적인 의료기기 기업으로 도약하는 기업""


리브스메드는 세계 최초로 다관절 수술 디바이스인 ArtiSential(아티센셜)을 개발한 의료기기 기업입니다.

의료기기 사업화에 중요한 요소인 보험급여 적용도 완료하였으며, 아티센셜은 국내 복강경 수술기구 중 유일하게 보험에 등재되어 있는 제품입니다.

또한 글로벌 기업으로 미국과 독일에 법인을 설립하였으며, 일본/유럽/APAC 등의 여러 국가에 진출하였습니다.


리브스메드는 누구나 첨단 의료혜택을 누릴 수 있도록, 혁신적인 기술을 통해 지속적으로 발전해 나가고 있습니다.

예비 유니콘 1위로 선정된 리브스메드는 얼어붙은 경제불황 속에서도 pre IPO 투자유치를 2023년도에 완료하였으며(누적 투자액 약 1100억), 코스닥 상장을 준비 중에 있습니다.



매해 매출이 2~3배씩 늘어나고 있는 가운데, 연구개발에서 양산화까지 성공적으로 이뤄지는 리브스메드에서, 함께 성장을 이끌어갈 인재를 찾습니다. 여러분의 소중한 지원서를 기다리겠습니다.


수상내역
- 2018년 보건복지부 장관상 수상
- 2019년 레드닷 어워드 수상
- 2020년 중소벤처기업부, 예비 유니콘 1위 선정
- 2020년 수출유망중소기업 지정 (경기지방중소벤처기업청장)
- 2020년 수출프론티어기업 인증(경기도지사)
- 2021년 식약처, 외과수술기구 제 15호 혁신의료기기 지정
- 2021년 보건산업진흥원장 유공 표창 수상
- 2022년 보건복지부장관 유공 표창 수상
- 2023년 고용노동부 강소기업 선정

리브스메드 제품 ‘아티센셜’ 소개 영상
-","• 제어기 회로 설계 및 개발
• 제어기 하우징 설계 및 개발
• PCB art-work
• 기능 검증 및 인증 시험
• 부품 구매","• 제어기 회로 설계 및 개발
• 제어기 하우징 설계 및 개발
• PCB art-work
• 기능 검증 및 인증 시험
• 부품 구매",,,,"식대지원, 건강검진지원, 커피·스낵바, 사내동호회, 51~300명, 설립10년이상, 누적투자100억이상, 경기도 우수 중소기업",상시채용,"신속 간결한 스타일, 상세한 피드백, 친절/따뜻한 스타일, 자유롭고 편한 환경",경기 성남시,리브스메드
QA 엔지니어,"국내 1위 경제 미디어 한국경제미디어그룹에서 출범한 블루밍비트는 가상자산(암호화폐) 투자자들이 필요한 모든 정보를 제공해주는 소셜 투자 정보 플랫폼 ‘블루밍비트(Bloomingbit)’를 만들고 있습니다.

이미 국내에서만 가상자산 투자자의 수가 558만명에 달할만큼 가상자산 투자는 대중화 되었습니다. 그러나 이들을 위한 정보 플랫폼은 대중화되지 않은 상황입니다. 때문에 대부분의 투자자들은 정보의 파편화와 비대칭성으로 인해 어려움을 겪고 있습니다.

블루밍비트는 이와 같은 어려움을 해결하기 위해 가상자산 투자자들에게 특화된 형태로, 24시간 365일 쉬지 않고 가장 빠르고 정확한 가상자산 & 경제 콘텐츠를 제공합니다.

투자자들이 겪고 있는 문제를 해결하는 것이 블루밍비트의 탄생 이유이자 사명(Mission)입니다. 우리의 목표는 고객들의 입에서 ‘블루밍비트 하나만 있으면 투자 준비 끝!’이라는 말이 나올 수 있도록 서비스를 만드는 것입니다.


[이런 분과 함께하고 싶습니다]

• 자신이 만드는 프로덕트에 대한 애정이 있는 분
유저들은 결국 프로덕트로 판단합니다. 그리고 프로덕트에는 우리의 마음가짐이 녹아있습니다. 유저들이 진정으로 원하는 것을 제공하였는지, 그것을 얼마나 디테일하게 신경썼는지 유저들은 항상 느끼고 있습니다. 이러한 마음가짐은 프로덕트로 발현되어 유저들의 만족도를 높이는데에 큰 기여를 할 것입니다. 프로덕트에 대한 깊은 애정이 최상의 결과와 더불어 감동까지 전달할 것이라고 믿습니다.

• 자신의 직무 성장에 욕심이 있는 분
블루밍비트는 개인의 성장과 회사의 성장이 함께 가야한다고 믿습니다. 자신의 한계를 뛰어넘고자 하는 열정을 가진 분을 환영합니다. 우리는 이러한 성장욕을 가진 분들이 회사의 중요한 자산이라고 믿습니다. 블루밍비트는 이런 열정적인 인재들의 가치를 깊이 이해하고 있으며, 여러분의 노력과 성과가 제대로 인정받고 보상받을 수 있는 환경을 조성하여 함께 성장하는 문화를 만들어가고자 합니다.

• 이런 분들과 함께 ONE TEAM 으로 즐겁게 일하고 커뮤니케이션 할 수 있는 분
위대한 일은 혼자서 할 수 없습니다. 블루밍비트는 자신이 만드는 프로덕트에 대한 애정과 직무 성장을 원하는 분들끼리 모여서 ONE TEAM 으로 일하는 과정을 추구합니다. 이런 분들이 모여서 즐겁고 신나게 일할 수 있는 환경을 제공하는 것이 회사의 중요한 역할 중 하나라고 믿습니다. 또한 회사(프로덕트)와 개인의 성장을 위해 서로에게 따뜻하고 솔직한 피드백을 줄 수 있는 분을 모시고 싶습니다.


[블루밍비트의 일하는 방식을 소개합니다]

• 원팀 - ONE TEAM
모든 구성원이 ‘투자자들이 겪고 있는 어려움을 해결한다’는 미션을 달성하기 위해 노력합니다. 구성원들은 서로를 배려하고 부족한 점을 보완해가며 하나의 팀처럼 움직입니다. 블루밍비트 역시 회사의 성공이 개인의 성공이 될 수 있는 환경을 만들기 위해 최선을 다 하고 있습니다.

• 임팩트에 집중합니다 - Focus on Impact
블루밍비트에서는 ‘누구의 의견인지’ 보다 ‘왜(Why) 그렇게 생각했는지’, ‘유저에게 얼만큼의 가치(임팩트)를 전달하는지’ 가 더 중요합니다. 블루밍비트는 고객의 문제를 해결할 수 있는 최선의 방법을 찾기 위해 모두가 의견을 제안하고 치열하게 논의하는 문화를 지향합니다. 그리고 그 고민의 결과물들을 유저들에게 속도감 있게 전달하고자 노력합니다.

• 동료의 성장을 위한 ‘따뜻하고 솔직한’ 피드백 - Feedback with Warmth
동료의 성장을 위한 따뜻하고 솔직한 피드백은 개개인의 역량을 더욱 성장하게 만듭니다. 수평적 커뮤니케이션의 순기능은 모든 직급, 배경 등의 영향없이 회사 내 그 누구에게든 솔직한 피드백을 주고 받을 수 있을 때 극대화 됩니다. 모든 피드백은 구성원과 블루밍비트에 긍정적인 방향을 위해 이루어지는 만큼, 적극적이고 이타적인 피드백 방법론을 지향합니다.","• 블루밍비트의 Mobile/PC App & Web 및 내부어드민의 전반적인 품질 관리
• 요구사항 분석을 통한 Test Plan 수립 및 Test Case 설계
• 당사 서비스의 전반적인 기능, 통합, 회귀 테스트
• BTS 툴을 활용한 Bug Report, Issue Tracking, 유관부서 전달 및 관리
• QA 프로세스 최적화
• 사용자/고객/내부 제품 피드백 수집 및 처리 프로세스 도입
• 서비스 품질이슈 및 개선사항 도출","• 블루밍비트의 Mobile/PC App & Web 및 내부어드민의 전반적인 품질 관리
• 요구사항 분석을 통한 Test Plan 수립 및 Test Case 설계
• 당사 서비스의 전반적인 기능, 통합, 회귀 테스트
• BTS 툴을 활용한 Bug Report, Issue Tracking, 유관부서 전달 및 관리
• QA 프로세스 최적화
• 사용자/고객/내부 제품 피드백 수집 및 처리 프로세스 도입
• 서비스 품질이슈 및 개선사항 도출",,,,"유망산업, 유급휴가, 자유로운휴가, 50명이하, 설립3년이하, 인원 급성장, 워크샵",2024.10.31,"빠른 속도감, 상세한 피드백, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 강남구,블루밍비트
[5G사업부]5G 특화망 주파수 및 무선국 관리 담당자,"“A Navigator for Your Digital Innovation”

데이터의 가치를 만드는 기업, 위즈코어

위즈코어는 ‘데이터의 가치를 만드는 기업’을 비전으로 국내외 제조기업의 데이터 기반의 디지털화를 견인하고 있습니다.

제조업 고객의 디지털 혁신을 위한 가이드가 되어 솔루션을 제공하고, 데이터의 가치를 새롭게 창출하고 고객과 함께 성장할 수 있도록 인도하고자 합니다. 현재는 열정 가득한 50여 명의 구성원들이 서울 본사(성수), AI Ground(강남), Wi Lab(용인)에서 근무하며 함께 성장하고 있습니다.


채용절차
서류전형 – 1차 면접 – 2차 면접 및 레퍼런스 체크(필요시) - 최종합격

참고사항
신입의 경우 첫 3개월은 수습기간이 적용됩니다.
직원은 회사를, 회사는 직원을 알아가기 위한 시간입니다.
3개월 후 서로의 의사를 존중하여 정직원 계약이 진행됩니다.","•5G 특화망 주파수 관리
•무선국 허가/준공 관리
•전파법 등 관련 업무 시행 및 관리
• 프로젝트 수행 지원","•5G 특화망 주파수 관리
•무선국 허가/준공 관리
•전파법 등 관련 업무 시행 및 관리
• 프로젝트 수행 지원",,,,"보너스, 건강검진지원, 연봉상위11~20%, 50명이하, 설립10년이상",2024.11.01,,서울 성동구,위즈코어
기구설계 엔지니어,"아폴론은 바늘이 없는 연속혈당측정기(CGM)를 개발합니다. 특정 Raman glucose peaks를 이용하여 초소형 측정기를 만들 수 있는 우리만의 역량(특허 등록)을 보유하고 있습니다. 시드투자를 완료하고 팁스에도 선정되었습니다.

현재 MIT와 임상 진행중입니다. 아폴론의 연구원이 MIT에 상주(연구원 비자)하며 공동연구를 수행합니다. 아폴론은 또 MIT 가까운 곳에 미국 법인을 세우고 그곳 인재들과 교류하면서 연구 개발부터 인허가, 비즈니스까지 전과정을 미국에서 전개해 나갑니다.

서울 연구소에서는 시스템 소형화에 집중하고있습니다.",• 웨어러블형 비침습 연속혈당측정기 기구 설계,• 웨어러블형 비침습 연속혈당측정기 기구 설계,,,,Solidworks,,,서울 강서구,아폴론
의료기기 인허가 RA 담당자,"아폴론은 바늘이 없는 연속혈당측정기(CGM)를 개발합니다. 특정 Raman glucose peaks를 이용하여 초소형 측정기를 만들 수 있는 우리만의 역량(특허 등록)을 보유하고 있습니다. 시드투자를 완료하고 팁스에도 선정되었습니다.

현재 MIT와 임상 진행중입니다. 아폴론의 연구원이 MIT에 상주(연구원 비자)하며 공동연구를 수행합니다. 아폴론은 또 MIT 가까운 곳에 미국 법인을 세우고 그곳 인재들과 교류하면서 연구 개발부터 인허가, 비즈니스까지 전과정을 미국에서 전개해 나갑니다.

서울 연구소는 시스템 소형화에 집중하고있습니다.","• 해외(미국, 유럽) 의료기기 인허가 업무
• 기술문서 작성 및 검토, 성능 등 제품 시험 및 심사 대응
• 국내외 의료기기 최신 규제동향 파악
• 제품 및 품질 관련 문서 관리","• 해외(미국, 유럽) 의료기기 인허가 업무
• 기술문서 작성 및 검토, 성능 등 제품 시험 및 심사 대응
• 국내외 의료기기 최신 규제동향 파악
• 제품 및 품질 관련 문서 관리",,,,Solidworks,,,서울 강서구,아폴론
전자 시스템 개발 엔지니어,"아폴론은 바늘이 없는 연속혈당측정기(CGM)를 개발합니다. 특정 Raman glucose peaks를 이용하여 초소형 측정기를 만들 수 있는 우리만의 역량(특허 등록)을 보유하고 있습니다. 시드투자를 완료하고 팁스에도 선정되었습니다.

현재 MIT와 임상 진행중입니다. 아폴론의 연구원이 MIT에 상주(연구원 비자)하며 공동연구를 수행합니다. 아폴론은 또 MIT 가까운 곳에 미국 법인을 세우고 그곳 인재들과 교류하면서 연구 개발부터 인허가, 비즈니스까지 전과정을 미국에서 전개해 나갑니다.

서울 연구소는 시스템 소형화에 집중하고있습니다.",• 웨어러블형 비침습 연속혈당측정기 회로 설계 및 PCB 설계,• 웨어러블형 비침습 연속혈당측정기 회로 설계 및 PCB 설계,,,,Solidworks,,,서울 강서구,아폴론
전자회로 아트워크 (Artwork) 엔지니어,"• 솔라라이즈는 태양광 발전기의 스마트 O&M 기능이 탑재된 인버터 개발하는 벤처기업입니다.
• 저희 솔라라이즈는 알티움(Altium) 사용 가능자를 긴급히 모집합니다 (학력/나이 무관, 경력 필수)","PCB 전자회로의 아트워크 (Artwork) 구현
KiCad/OrCAD/Altium 등 아트워크 프로그램 사용 가능자
TI 데모보드 아트워크 수정 (알티움으로 회로도 아트워크 수행)
회로 부품 구매 및 샘플 제작","PCB 전자회로의 아트워크 (Artwork) 구현
KiCad/OrCAD/Altium 등 아트워크 프로그램 사용 가능자
TI 데모보드 아트워크 수정 (알티움으로 회로도 아트워크 수행)
회로 부품 구매 및 샘플 제작",,,,"자기계발지원, 보너스, 50명이하, 설립3년이하",상시채용,,서울,솔라라이즈(Solarize)
기술영업팀 팀장급 PM(사업수행),에너지 사용의 새로운 습관 한국그린데이터입니다. 지속 가능한 에너지 효율화에 대한 사람의 의식전환과 행동 변화를 수반하는 효과적인 인사이트를 제공하기위해 데이터 분석 다각화와 처방적 분석 결과를 제공하는 플랫폼으로 비전문가도 활용 가능한 에너지효율화에 대한 의사결정을 지원하고 단순히 데이터를 전달하고 보여주는 것이 아닌 에너지 데이터로 세상을 바꾸는 계기를 만들어가는 한국그린데이터 입니다.,"• 고객사(빌딩, 호텔, 리조트) 분석
• 사업제안서 작성 및 연구과제 사업개발 부문 작성
• 데이터 기반 에너지효율화플랫폼(EMS) 구축 : 당사 솔루션
• 각 지점별 데이터 취득을 위한 통신 시스템 구축
• 기 구축된 Legacy system과의 연동
• 전기, 가스, 수도 등 에너지 사용량 원격계측을 위한 시스템 구축","• 고객사(빌딩, 호텔, 리조트) 분석
• 사업제안서 작성 및 연구과제 사업개발 부문 작성
• 데이터 기반 에너지효율화플랫폼(EMS) 구축 : 당사 솔루션
• 각 지점별 데이터 취득을 위한 통신 시스템 구축
• 기 구축된 Legacy system과의 연동
• 전기, 가스, 수도 등 에너지 사용량 원격계측을 위한 시스템 구축",,,,AutoCAD,,,서울 서초구,한국그린데이터
SoC Design Engineer,"망고부스트는 DPU로 글로벌 AI용 시스템 반도체 시장에 혁신을 일으키려 합니다.
세계 최고의 인재들이 모여 만들어 가고 있는 제품의 기술력과 성장 가능성은 설립 2년 만에 4,000억원의 기업가치로 인정받고 있습니다.
세계 최고의 인재들이 모인 만큼 채용의 중요함을 알고 있고, One Team의 가치를 믿고 있습니다.
빠르게 성장하고 있는 망고부스트에서 동료를 찾고 있습니다.","• DPU 시스템을 위해 accelerator IPs, multi-core CPUs, high bandwidth interconnect과 high-speed interface가 포함된 SoC 아키텍처 설계
• 성능, 전력, area을 optimize한 풀 칩 수준의 SoC 설계  
• SoC 기능 및 성능 검증 및 검토  
• 유관부서 (소프트웨어, 아키텍처, 글로벌팀)과 협력하여 높은 성능과 신뢰성을 갖춘 세계적 수준의 DPU 시스템 구축  
• 업계 선두주자들과 함께 차세대 서버 시스템을 위한 혁신적인 솔루션 개발 기회","• DPU 시스템을 위해 accelerator IPs, multi-core CPUs, high bandwidth interconnect과 high-speed interface가 포함된 SoC 아키텍처 설계
• 성능, 전력, area을 optimize한 풀 칩 수준의 SoC 설계  
• SoC 기능 및 성능 검증 및 검토  
• 유관부서 (소프트웨어, 아키텍처, 글로벌팀)과 협력하여 높은 성능과 신뢰성을 갖춘 세계적 수준의 DPU 시스템 구축  
• 업계 선두주자들과 함께 차세대 서버 시스템을 위한 혁신적인 솔루션 개발 기회",,,,"SoC, Verilog, RTL 설계, RTL 코딩, RTL 검증",,,서울 관악구,망고부스트
System Architect,"망고부스트는 DPU로 글로벌 AI용 시스템 반도체 시장에 혁신을 일으키려 합니다.
세계 최고의 인재들이 모여 만들어 가고 있는 제품의 기술력과 성장 가능성은 설립 2년 만에 4,000억원의 기업가치로 인정받고 있습니다.
세계 최고의 인재들이 모인 만큼 채용의 중요함을 알고 있고, One Team의 가치를 믿고 있습니다.
빠르게 성장하고 있는 망고부스트에서 동료를 찾고 있습니다.","• FPGA/ASIC DPU IP, 시스템 및 애플리케이션의 개발, 검증 및 최적화  
• 전략적 엔지니어링 프로젝트에서 고객사 및 파트너와 협력  
• 유관부서 (workload, system software, verification, FPGA tooling 등)와 협력하여 최첨단 시스템 솔루션 개발","• FPGA/ASIC DPU IP, 시스템 및 애플리케이션의 개발, 검증 및 최적화  
• 전략적 엔지니어링 프로젝트에서 고객사 및 파트너와 협력  
• 유관부서 (workload, system software, verification, FPGA tooling 등)와 협력하여 최첨단 시스템 솔루션 개발",,,,"TCP, FPGA, Verilog, GPU",,,서울 관악구,망고부스트
IP Verification Engineer,"망고부스트는 DPU로 글로벌 AI용 시스템 반도체 시장에 혁신을 일으키려 합니다.
세계 최고의 인재들이 모여 만들어 가고 있는 제품의 기술력과 성장 가능성은 설립 2년 만에 4,000억원의 기업가치로 인정받고 있습니다.
세계 최고의 인재들이 모인 만큼 채용의 중요함을 알고 있고, One Team의 가치를 믿고 있습니다.
빠르게 성장하고 있는 망고부스트에서 동료를 찾고 있습니다.","• 망고부스트 DPU의 종합적인 소프트웨어 / 하드웨어 Verification
• DPU 시스템 및 애플리케이션 기능과 성능을 세심하게 검증하기 위해 IP Design, Software, Architecture, SoC 부서들과 지속적으로 소통
• 시스템 workflow와 성능을 평가하고, 사용자 피드백, 타 부서의 버그 보고를 바탕으로 개선사항 제안","• 망고부스트 DPU의 종합적인 소프트웨어 / 하드웨어 Verification
• DPU 시스템 및 애플리케이션 기능과 성능을 세심하게 검증하기 위해 IP Design, Software, Architecture, SoC 부서들과 지속적으로 소통
• 시스템 workflow와 성능을 평가하고, 사용자 피드백, 타 부서의 버그 보고를 바탕으로 개선사항 제안",,,,"Perl, Python, OOP, PCle",,,서울 관악구,망고부스트
