채용공고명,포지션 상세,주요 업무,자격 요건,우대사항,혜택 및 복지,채용 전형,태그,마감일,면접리뷰,회사위치,회사명
게임서비스 플랫폼 엔지니어,"게임 플랫폼 엔지니어는 게임을 서비스하기 위해 필요한 컨텐츠 개발 외적인 테크니컬한 측면을 폭넓게 다룹니다.
게임 서버의 인프라를 구성하고, 게임 클라이언트의 배포를 관리하며, 웹 서비스의 백엔드를 개발/운영합니다.","• 퍼블릭 클라우드를 활용한 개발/서비스 인프라 구성 및 관리를 진행해요.
• 타 시스템과의 연동을 위한 웹 서비스 API 개발을 진행해요.
• 로그, 모니터링, 데이터 플랫폼 구축, 지원을 진행해요.","• 퍼블릭 클라우드를 활용한 개발/서비스 인프라 구성 및 관리를 진행해요.
• 타 시스템과의 연동을 위한 웹 서비스 API 개발을 진행해요.
• 로그, 모니터링, 데이터 플랫폼 구축, 지원을 진행해요.",,,,"Linux, 서버, API, 클라우드 보안, 리눅스 서버, 클라우드 스토리지, 백엔드 개발",,,서울 서초구,슈퍼빌런랩스
unity3d 개발자 (주임대리급),"글로벌 점유율 1위 피닉스다트는 불과 25년 전에는 일본에서 시작된 후발주자였지만
피닉스다트만의 노하우로 일본 대기업 'SEGA'를 이기고 글로벌 시장 1위를 달성했습니다.

새로운 레저 스포츠 문화를 선도하는 글로벌 시장 점유율 1위, 종합 엔터테인먼트 피닉스다트는 곧 코스닥 상장을 목표하여 폭발적인 성장을 그리고 있습니다.

현재 미국과 일본 등 전세계 8개의 글로벌 법인지사를 운영하고 있는 피닉스다트는 ""원피스""와 ""짱구"" 판권 보유하고 있으며 최근 ""귀멸의 칼날"" 콜라보 진행했습니다.
또한 다트펍""다트플렉스"" 국내외 운영중,국제토너먼트 K-DART FESTIVAL 개최, 다트협회설립 등 다양한 산업에서 다트의 대중화에 기여하고 있습니다.

새로운 스포츠 문화를 함께 만들어갈 피닉스다트에 지금 바로 합류해주세요!",• 디지털 네트워크 기술 기반 다트머신 탑재 3D 게임 개발,• 디지털 네트워크 기술 기반 다트머신 탑재 3D 게임 개발,,,,"커피·스낵바, 유망산업, 편의시설, 휴가비, 대출지원, 51~300명, 설립10년이상",상시채용,,서울 구로구,피닉스다트
[Poker]Desktop Client,"NSUS Group은 북미, 유럽, 아시아 등 다양한 지역에 약 700명 이상의 임직원들이 일하고 있는 다국적 기업으로 iGaming 업계의 유니콘이며, NSUSLAB은 NSUS Group의 개발 스튜디오로서 그룹의 핵심적인 역할을 담당하고 있습니다.
NSUSLAB의 위대한 도전을 함께 할 우수 인재를 적극 모시고자 하니, 많은 관심과 지원 부탁 드립니다.",•  AIR 기반 클라이언트 게임 컨텐츠 개발,•  AIR 기반 클라이언트 게임 컨텐츠 개발,,,,"복지포인트, 커피·스낵바, 식대지원, 사내동호회, 자기계발지원, 유망산업, 301~1,000명, 연봉상위2~5%, AI 선도 기업, 육아휴직, 보너스, 인원 급성장, 설립10년이상, 워크샵",상시채용,"신속 간결한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 강남구,앤서스랩코리아
[Poker]Client Framework,"NSUS Group은 북미, 유럽, 아시아 등 다양한 지역에 약 700명 이상의 임직원들이 일하고 있는 다국적 기업으로 iGaming 업계의 유니콘이며, NSUSLAB은 NSUS Group의 개발 스튜디오로서 그룹의 핵심적인 역할을 담당하고 있습니다.
NSUSLAB의 위대한 도전을 함께 할 우수 인재를 적극 모시고자 하니, 많은 관심과 지원 부탁 드립니다.","• 게임 클라이언트 SDK 개발 및 유지 보수
• 모바일/데스크톱 네이티브 모듈 개발
• 외부SDK /3rdparty 모듈 게임 클라이언트 연동","• 게임 클라이언트 SDK 개발 및 유지 보수
• 모바일/데스크톱 네이티브 모듈 개발
• 외부SDK /3rdparty 모듈 게임 클라이언트 연동",,,,"복지포인트, 커피·스낵바, 식대지원, 사내동호회, 자기계발지원, 유망산업, 301~1,000명, 연봉상위2~5%, AI 선도 기업, 육아휴직, 보너스, 인원 급성장, 설립10년이상, 워크샵",상시채용,"신속 간결한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 강남구,앤서스랩코리아
[Casino Platform]게임 보안 관리(의심 회원 관리),"NSUS Group은 북미, 유럽, 아시아 등 다양한 지역에 약 700명 이상의 임직원들이 일하고 있는 다국적 기업으로 iGaming 업계의 유니콘이며, NSUSLAB은 NSUS Group의 개발 스튜디오로서 그룹의 핵심적인 역할을 담당하고 있습니다.
NSUSLAB의 위대한 도전을 함께 할 우수 인재를 적극 모시고자 하니, 많은 관심과 지원 부탁 드립니다.","• 의심거래 탐지 Rule 기획 및 운영
• 데이터 분석을 통한 유저 베팅 패턴, 벳사이징 등에 대한 인사이트 도출
• 유저들의 카지노 게임내용과 계정기록에 기반한 증거 수집
• 유저들의 부정행위 색출/보고/처리
• 온라인 카지노 사이트 모니터링","• 의심거래 탐지 Rule 기획 및 운영
• 데이터 분석을 통한 유저 베팅 패턴, 벳사이징 등에 대한 인사이트 도출
• 유저들의 카지노 게임내용과 계정기록에 기반한 증거 수집
• 유저들의 부정행위 색출/보고/처리
• 온라인 카지노 사이트 모니터링",,,,"복지포인트, 커피·스낵바, 식대지원, 사내동호회, 자기계발지원, 유망산업, 301~1,000명, 연봉상위2~5%, AI 선도 기업, 육아휴직, 보너스, 인원 급성장, 설립10년이상, 워크샵",상시채용,"신속 간결한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 강남구,앤서스랩코리아
[디스민즈워] 레벨 기획(PC),"디스민즈워는 위메이드 계열사로서 현장감과 몰입감을 주는 보병전 중심의 현대전 FPS를 개발하고 있습니다.
Unreal 5 엔진으로 개발중이며 극 사실주의에 입각한 비주얼/전쟁경험 서비스를 목표로 하고 있습니다.

우리는 각자의 분야에서 최고가 되기 위한 꿈과 열정을 지니고 맡은 미션을 훌륭하게 수행하며
멋진 성과를 만들어내는 훌륭한 인재들로 구성되어 있습니다.

서로에 대한 믿음을 바탕으로 팀워크와 협업 시너지를 창출하고 있으며,
밀리터리 FPS 게임 시장에 새로운 패러다임을 제시할 것입니다.

무한한 상상력을 현실로 만드는 멋진 동료들과 함께 꿈을 펼쳐나가실 분은 지원해주세요.

#Unreal5 #Extraction_Team #FPS #대작","• Unreal Engine 5 레벨 디자인 (레벨구성/전투흐름/밸런싱 등)
• 다양한 컨텐츠 구체화 및 디자인
• 플레이어 피드백을 바탕으로 레벨 개선 작업","• Unreal Engine 5 레벨 디자인 (레벨구성/전투흐름/밸런싱 등)
• 다양한 컨텐츠 구체화 및 디자인
• 플레이어 피드백을 바탕으로 레벨 개선 작업",,,,"편의시설, 단체보험, 커피·스낵바, 건강검진지원, 복지포인트, 유급휴가, 식대지원, 유망산업, 연봉상위1%, 301~1,000명, 누적투자100억이상, AI 선도 기업, 설립10년이상, 경기도 우수 중소기업",2025.01.07,"신속 간결한 스타일, 과정 중심 질문, 진중/칼같은 스타일, 자유롭고 편한 환경",경기 성남시,위메이드(WEMADE)
[디스민즈워] 3D 캐릭터 아티스트(PC/Console),"디스민즈워는 위메이드 계열사로서 현장감과 몰입감을 주는 보병전 중심의 현대전 FPS를 개발하고 있습니다.

Unreal 5 엔진으로 팀 오브젝트를 기반으로 한 아이템 쟁탈 모드를 개발 중이며,
사실주의에 입각한 비주얼/전쟁경험 서비스를 목표로 하고 있습니다.

#Unreal5 #Extraction_Team #FPS #대작","• 컨셉에 맞는 고퀄리티 실사 3D 캐릭터, 총기제작 업무
• 실제 고증을 바탕으로 하는 캐릭터 파츠 및 3D 리소스 제작
• 관련 기술 R&D 및 테스트","• 컨셉에 맞는 고퀄리티 실사 3D 캐릭터, 총기제작 업무
• 실제 고증을 바탕으로 하는 캐릭터 파츠 및 3D 리소스 제작
• 관련 기술 R&D 및 테스트",,,,"편의시설, 단체보험, 커피·스낵바, 건강검진지원, 복지포인트, 유급휴가, 식대지원, 유망산업, 연봉상위1%, 301~1,000명, 누적투자100억이상, AI 선도 기업, 설립10년이상, 경기도 우수 중소기업",2024.11.07,"신속 간결한 스타일, 과정 중심 질문, 진중/칼같은 스타일, 자유롭고 편한 환경",경기 성남시,위메이드(WEMADE)
[디스민즈워] 클라이언트 콘텐츠 프로그래머(PC),"디스민즈워는 위메이드 계열사로서 현장감과 몰입감을 주는 보병전 중심의 현대전 FPS를 개발하고 있습니다.
Unreal 5 엔진으로 개발중이며 극 사실주의에 입각한 비주얼/전쟁경험 서비스를 목표로 하고 있습니다.

우리는 각자의 분야에서 최고가 되기 위한 꿈과 열정을 지니고 맡은 미션을 훌륭하게 수행하며
멋진 성과를 만들어내는 훌륭한 인재들로 구성되어 있습니다.

서로에 대한 믿음을 바탕으로 팀워크와 협업 시너지를 창출하고 있으며,
밀리터리 FPS 게임 시장에 새로운 패러다임을 제시할 것입니다.

무한한 상상력을 현실로 만드는 멋진 동료들과 함께 꿈을 펼쳐나가실 분은 지원해주세요.

#Unreal5 #Extraction_Team #FPS #대작",• 클라이언트/DS 컨텐츠 개발,• 클라이언트/DS 컨텐츠 개발,,,,"편의시설, 단체보험, 커피·스낵바, 건강검진지원, 복지포인트, 유급휴가, 식대지원, 유망산업, 연봉상위1%, 301~1,000명, 누적투자100억이상, AI 선도 기업, 설립10년이상, 경기도 우수 중소기업",2024.12.11,"신속 간결한 스타일, 과정 중심 질문, 진중/칼같은 스타일, 자유롭고 편한 환경",경기 성남시,위메이드(WEMADE)
라이브 운영기획자,"달콤소프트는 아티스트 IP를 사용하여 SuperStar 시리즈를 서비스하고 있는 리듬게임 개발 및 운영사입니다.
SuperStar는 2014년 SuperStar SMTOWN을 시작으로 약 20개의 기획사, 400명 이상의 TOP Artist와 함께 성장해 왔습니다.
SuperStar는 전세계 126개국 이상에서 7,700만명 이상의 K-POP Fandom User를 확보하고 있는 ""New Contents Delivery Plarform""입니다.
현재 SuperStar는 미국,일본,싱가폴에 해외 자회사 설립을 통하여 K-POP뿐만 아니라 글로벌 아티스트로의 확대를 진행하며 명실상부한 글로벌 서비스로 도약하고 있습니다.","· 주요 라이브 팀 관리 대응 업무
· 유료화 상품 / 이벤트 기획","· 주요 라이브 팀 관리 대응 업무
· 유료화 상품 / 이벤트 기획",,,,"Github, Trello, MS 오피스",,,서울 강남구,달콤소프트
캐주얼 게임 PM,"111퍼센트는 재미라는 본질에 집중합니다.
재미는 심플하고, 참신한 룰에서 나옵니다.

바둑이 흑과 백, 두가지 돌과 심플한 룰로 약 5,000년 동안 인류를 즐겁게 했고,
랜덤 다이스 디펜스가 주사위와 참신한 룰로 약 2,500만 유저를 즐겁게 했듯,
재미있는 게임은 기획부터 런칭까지 6개월이면 충분합니다.

공감 : 111퍼센트만의 개발 속도와 방향성에 깊이 공감하고, 변화에 민첩하게 대응합니다.
도전 : 실패를 두려워 하지 않고, 그 과정을 발판삼아 한단계 성장하여, 다음 도전에서는 성공가능성을 높입니다.
몰입 : 매우 깊고 밀도 있는 몰입으로 매 순간 최고의 속도를 내며 우리의 성공을 앞당깁니다.

111퍼센트는 위 핵심가치를 따라 매번 최고의 속도를 내며 계속해서 도전하고 있습니다.
변화와 실패를 두려워하지 않고, 빠르고 깊은 몰입을 통해 세상에 없던 재미를 개발하고 싶으신 분들을 두 팔 벌려 환영합니다.


* 채용전형
서류전형 ＞ 1차 인터뷰 ＞ 2차 인터뷰 ＞ 처우 협상 ＞ 최종합격

* 고용형태
- 정규직 (수습기간 3개월)

* 파일 첨부할 경우 PDF파일로 첨부해주세요.


111퍼센트 PM팀 소개

111퍼센트의 PM팀은 6개월 이라는 게임 제작 사이클에 따라 개발 중인 프로젝트들이 목표한 기간 내 런칭 될 수 있도록, 컨트롤 타워로서 전체 프로젝트 관리를 담당하는 조직입니다.
새로운 시도와 개선을 통해 더 나은 프로세스를 끊임없이 제안하고 실행합니다.
게임 제작의 출발 단계부터 참여하게 되며, 방향성 확인, 일정 관리, 재미 검증, 서비스 런칭 등
제작 단계부터 라이브 서비스까지 전 과정을 유관 부서와 함께 긴밀하게 협업하고 있습니다.

프로젝트 전 과정에 참여하고, 6개월 내에 런칭 후, 라이브에서의 성공까지 경험해보실 PM 분들을 모집합니다.","• 111퍼센트 게임 제작 사이클에 따라, 6개월 내에 담당 프로젝트의 안정적 제작과 런칭이 가능하도록 프로젝트 진척도 및 일정 관리 업무를 수행합니다.
• 동시에 여러 개의 개발 프로젝트를 관리하며, 프로젝트가 목표 기한 내에 개발 및 런칭 되는 데 있어 이슈사항들의 빠른 해결을 위해 유관 부서와 긴밀히 협업합니다. 
• 프로젝트 성공을 위해, 담당 프로젝트의 개발자, 디자이너, 기획 리더와 함께 게임의 재미 향상을 위한 고민과 피드백을 제공하여, 더 나은 결과물을 만들어내는데 기여합니다.","• 111퍼센트 게임 제작 사이클에 따라, 6개월 내에 담당 프로젝트의 안정적 제작과 런칭이 가능하도록 프로젝트 진척도 및 일정 관리 업무를 수행합니다.
• 동시에 여러 개의 개발 프로젝트를 관리하며, 프로젝트가 목표 기한 내에 개발 및 런칭 되는 데 있어 이슈사항들의 빠른 해결을 위해 유관 부서와 긴밀히 협업합니다. 
• 프로젝트 성공을 위해, 담당 프로젝트의 개발자, 디자이너, 기획 리더와 함께 게임의 재미 향상을 위한 고민과 피드백을 제공하여, 더 나은 결과물을 만들어내는데 기여합니다.",,,,"편의시설, 건강검진지원, 커피·스낵바, 식대지원, 연봉상위11~20%, 51~300명, 설립4~9년",상시채용,"신속 간결한 스타일, 과정 중심 질문, 진중/칼같은 스타일, 캐주얼/편한 분위기",서울 강남구,111퍼센트
